time, accel 1, accel 2, accel 3, accel 4, accel top, accel bottom 
time - seconds (computed after test), deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg
3.000000000000007327e-04,2.373754883480000064e-02,2.643707884950000087e-02,2.870942565539999838e-02,1.899075786439999997e-02,1.656553155920000020e-02,0.000000000000000000e+00
3.020000000000007271e-04,4.124862883480427678e-02,-3.269271150496440206e-03,3.246182565539145609e-02,1.461302786440000015e-02,2.156865155917721613e-02,0.000000000000000000e+00
3.040000000000007215e-04,2.623910883479620496e-02,1.392912884950406847e-02,2.308088565540325487e-02,2.117965786440664452e-02,-5.948788440790235901e-03,0.000000000000000000e+00
3.060000000000007159e-04,2.373754883482359634e-02,2.643707884949508466e-02,3.246182565541179399e-02,3.431298786437591425e-02,3.157497155918820297e-02,0.000000000000000000e+00
3.080000000000007103e-04,5.000418883479782611e-02,2.643707884950271397e-02,3.433802565539511437e-02,1.023523486440000053e-02,9.060739559202170626e-03,0.000000000000000000e+00
3.100000000000007047e-04,4.249942883479782690e-02,2.018307884950000172e-02,2.870942565539877714e-02,2.336855786440000110e-02,1.656553155920000020e-02,0.000000000000000000e+00
3.120000000000006991e-04,3.874706883479186320e-02,1.861962884949796768e-02,1.369994565541220524e-02,2.336855786439715268e-02,1.906705155920000033e-02,0.000000000000000000e+00
3.140000000000006935e-04,2.498834883479349178e-02,1.549262884949796464e-02,3.058562565539755737e-02,2.117965786439715212e-02,2.156865155919999999e-02,0.000000000000000000e+00
3.160000000000006879e-04,2.123594883479966444e-02,4.548193849500422117e-03,3.246182565539969256e-02,2.117965786439976461e-02,1.156233155920054212e-02,0.000000000000000000e+00
3.180000000000006823e-04,1.122961563482034221e-02,9.238678849506781060e-03,2.120468565539389630e-02,3.650188786438576111e-02,2.907345155919457622e-02,0.000000000000000000e+00
3.200000000000006767e-04,3.874706883480332625e-02,3.112752884950296603e-02,2.495708565540070978e-02,2.336855786440415403e-02,2.407025155920474585e-02,0.000000000000000000e+00
3.220000000000006711e-04,3.374386883478291965e-02,5.301632884951186508e-02,8.071363655397180772e-03,4.525741786439003295e-02,4.908609155919999717e-02,0.000000000000000000e+00
3.240000000000006655e-04,2.123594883479695133e-02,4.832592884948220396e-02,1.369994565541373006e-02,2.774635786439287946e-02,3.407657155918982633e-02,0.000000000000000000e+00
3.260000000000006599e-04,2.248674883480162798e-02,2.331007884950126938e-02,1.932848565539939042e-02,1.461302786440071139e-02,1.406393155920284896e-02,0.000000000000000000e+00
3.280000000000006543e-04,5.375650883481403880e-02,3.425452884949804766e-02,1.932848565540000105e-02,2.117965786440000053e-02,4.408297155920935795e-02,0.000000000000000000e+00
3.300000000000006487e-04,6.126130883479403294e-02,2.018307884950093500e-02,2.308088565540111770e-02,1.899075786439347394e-02,4.408297155919552179e-02,0.000000000000000000e+00
3.320000000000006431e-04,3.249310883480203971e-02,2.331007884949982956e-02,3.058562565539938924e-02,2.117965786439857806e-02,3.157497155920054033e-02,0.000000000000000000e+00
3.340000000000006375e-04,4.249942883480257311e-02,1.705612884950160821e-02,1.932848565538840616e-02,2.774635786440676072e-02,1.656553155920257800e-02,0.000000000000000000e+00
3.360000000000006319e-04,4.124862883480000242e-02,3.581802884950406607e-02,1.182374565540488150e-02,4.087968786439786367e-02,2.657185155920325365e-02,0.000000000000000000e+00
3.380000000000006263e-04,4.249942883479999878e-02,4.832592884948898326e-02,3.809036565539999919e-02,2.555745786441542683e-02,3.657817155919294849e-02,0.000000000000000000e+00
3.400000000000006207e-04,4.375022883479810082e-02,3.269102884950356169e-02,3.809036565540854097e-02,5.839074786440996701e-02,3.657817155920379398e-02,0.000000000000000000e+00
